ADJ{affreux}, N{personnage.g=M num=SG}*	afʁøpɛʁsonaʒ	1	0
ADJ{bon}, N{soirée.g=F num=SG}*	bɔnswaʁe	1	0
ADJ{bon}, N{souvenir.g=M num=PL}*	bQsuvœniʁ	1	0
ADJ{bon}, N{souvenir.g=M num=SG}*	bQsuvœniʁ	1	0
ADJ{bon}, N{thé.g=M num=SG}*	bQte	1	0
ADJ{bête}, N{amour.g=M num=SG}*	bɛtamuʁ	1	0
ADJ{certaine}, N{réputation.g=F num=SG}*	sɛʁtɛnʁepytasjQ	1	0
ADJ{certaine}, N{époque.g=F num=SG}*	sɛʁtɛnepɔk	1	0
ADJ{certain}, N{chose.g=F num=PL}*	sɛʁtɛnʃoz	1	0
ADJ{certain}, N{chose.g=F num=PL}*	sɛʁtɛnʃoz	1	0
ADJ{certain}, N{chose.g=F num=PL}*	sɛʁtɛnʃoz	1	0
ADJ{certain}, N{chose.g=F num=PL}*	sɛʁtɛnʃoz	1	0
ADJ{certain}, N{chose.g=F num=PL}*	sɛʁtɛnʃoz	1	0
ADJ{certain}, N{chose.g=F num=PL}*	sɛʁtɛnʃoz	1	0
ADJ{certain}, N{chose.g=F num=PL}*	sɛʁtɛnʃoz	1	0
ADJ{certain}, N{chose.g=F num=PL}*	sɛʁtɛnʃoz	1	0
ADJ{certain}, N{commodité.g=F num=PL}*	sɛʁtɛnkomodite	1	0
ADJ{certain}, N{concours.g=M num=PL}*	sɛʁt3kQkuʁ	1	0
ADJ{certain}, N{domaine.g=M num=PL}*	sɛʁt3domɛn	1	0
ADJ{certain}, N{moment.g=M num=SG}*	sɛʁt3mom&	1	0
ADJ{certain}, N{naturel.g=M num=SG}*	sɛʁt3natyʁɛl	1	0
ADJ{certain}, N{niveau.g=M num=SG}*	sɛʁt3nivo	1	0
ADJ{certain}, N{niveau.g=M num=SG}*	sɛʁt3nivo	1	0
ADJ{certain}, N{nombre.g=M num=SG}*	sɛʁt3nQbʁ	1	0
ADJ{certain}, N{nombre.g=M num=SG}*	sɛʁt3nQbʁ	1	0
ADJ{certain}, N{nombre.g=M num=SG}*	sɛʁt3nQbʁ	1	0
ADJ{certain}, N{nombre.g=M num=SG}*	sɛʁt3nQbʁ	1	0
ADJ{certain}, N{ville.g=F num=PL}*	sɛʁtɛnvil	1	0
ADJ{certain}, N{écran.g=M num=SG}*	sɛʁt3nekʁ&	1	1
ADJ{chaque}, N{famille.g=F num=SG}*	ʃakfamij	1	0
ADJ{chaque}, N{fois.g=F num=PL}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{fois.g=F num=SG}*	ʃakfwa	1	0
ADJ{chaque}, N{jour.g=M num=SG}*	ʃakʒuʁ	1	0
ADJ{chaque}, N{mois.g=M num=SG}*	ʃakmwa	1	0
ADJ{chaque}, N{pays.g=M num=SG}*	ʃakpei	1	0
ADJ{chaque}, N{registre.g=M num=SG}*	ʃakʁœʒistʁ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{chaque}, N{voyage.g=M num=SG}*	ʃakvwajaʒ	1	0
ADJ{choisi}, N{alternance.g=F num=SG}*	ʃwazialtɛʁn&s	1	0
ADJ{choisi}, N{maths.g=F num=PL}*	ʃwazimat	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{commun}, N{voisin.g=F num=PL}*	komynvwazin	1	0
ADJ{connu}, N{autre.g=M num=SG}*	konyotʁ	1	0
ADJ{connu}, N{madame.g=F num=PL}*	konymadam	1	0
ADJ{connu}, N{plein.g=M num=SG}*	konypl3	1	0
ADJ{connu}, N{ses.g=F num=SG}*	konyse	1	0
ADJ{court}, N{terme.g=M num=SG}*	kuʁtɛʁm	1	0
ADJ{d'autres}, N{chose.g=F num=PL}*	dotʁʃoz	1	0
ADJ{d'autres}, N{concours.g=M num=PL}*	dotʁkQkuʁ	1	0
ADJ{d'autres}, N{fois.g=F num=PL}*	dotʁfwa	1	0
ADJ{d'autres}, N{maman.g=F num=PL}*	dotʁmam&	1	0
ADJ{d'autres}, N{musicien.g=M num=PL}*	dotʁmyzisj3	1	0
ADJ{d'autres}, N{pays.g=M num=PL}*	dotʁpei	1	0
ADJ{d'autres}, N{personne.g=F num=PL}*	dotʁpɛʁsɔn	1	0
ADJ{d'autres}, N{province.g=F num=PL}*	dotʁpʁov3s	1	0
ADJ{d'autres}, N{région.g=F num=PL}*	dotʁʁeʒjQ	1	0
ADJ{d'autres}, N{sujet.g=M num=PL}*	dotʁsyʒɛ	1	0
ADJ{demi}, N{douzaine.g=F num=SG}*	dœmiduzɛn	1	0
ADJ{demi}, N{douzaine.g=F num=SG}*	dœmiduzɛn	1	0
ADJ{demi}, N{point.g=M num=PL}*	dœmipw3	1	0
ADJ{demi}, N{pointe.g=F num=SG}*	dœmipw3t	1	0
ADJ{demi}, N{pointe.g=F num=SG}*	dœmipw3t	1	0
ADJ{demi}, N{pointure.g=F num=PL}*	dœmipw3tyʁ	1	0
ADJ{demi}, N{siècle.g=M num=SG}*	dœmisjɛkl	1	0
ADJ{dernier}, N{année.g=F num=PL}*	dɛʁnjɛʁzane	1	1
ADJ{dernier}, N{degré.g=M num=SG}*	dɛʁnjedœgʁe	1	0
ADJ{dernier}, N{mois.g=M num=PL}*	dɛʁnjemwa	1	0
ADJ{dernier}, N{question.g=F num=SG}*	dɛʁnjɛʁkɛstjQ	1	0
ADJ{dernier}, N{s.g=M num=PL}*	dɛʁnjɛʁɛs	1	0
ADJ{dernier}, N{sujet.g=M num=SG}*	dɛʁnjesyʒɛ	1	0
ADJ{deuxième}, N{année.g=F num=SG}*	døzjɛmane	1	0
ADJ{deuxième}, N{année.g=F num=SG}*	døzjɛmane	1	0
ADJ{deuxième}, N{année.g=F num=SG}*	døzjɛmane	1	0
ADJ{deuxième}, N{année.g=F num=SG}*	døzjɛmane	1	0
ADJ{deuxième}, N{cuisse.g=F num=SG}*	døzjɛmkɥis	1	0
ADJ{deuxième}, N{cycle.g=M num=SG}*	døzjɛmsikl	1	0
ADJ{deuxième}, N{division.g=F num=SG}*	døzjɛmdivizjQ	1	0
ADJ{deuxième}, N{fois.g=F num=PL}*	døzjɛmfwa	1	0
ADJ{deuxième}, N{langue.g=F num=SG}*	døzjɛml&g	1	0
ADJ{deuxième}, N{langue.g=F num=SG}*	døzjɛml&g	1	0
ADJ{différent}, N{activité.g=F num=PL}*	difeʁ&taktivite	1	0
ADJ{différent}, N{commune.g=F num=PL}*	difeʁ&tkomyn	1	0
ADJ{double}, N{national.g=M num=SG}*	dublnasjonal	1	0
ADJ{double}, N{nationalité.g=F num=SG}*	dublnasjonalite	1	0
ADJ{double}, N{nationalité.g=F num=SG}*	dublnasjonalite	1	0
ADJ{dénivelé}, N{négatif.g=M num=SG}*	denivœlenegatif	1	0
ADJ{dénivelé}, N{positif.g=M num=SG}*	denivœlepozitif	1	0
ADJ{fait}, N{confiance.g=F num=SG}*	fɛtkQfj&s	1	0
ADJ{fait}, N{historique.g=M num=PL}*	fɛistoʁik	1	0
ADJ{fait}, N{partie.g=F num=SG}*	fɛtpaʁti	1	0
ADJ{fameux}, N{cérémonie.g=F num=SG}*	famøzseʁemoni	1	0
ADJ{faux}, N{idée.g=F num=PL}*	fozide	1	1
ADJ{folklorique}, N{local.g=M num=PL}*	fɔlkloʁikloko	1	0
ADJ{fort}, N{population.g=F num=SG}*	fɔʁtpopylasjQ	1	0
ADJ{grand}, N{amicale.g=F num=SG}*	gʁ&damikal	1	0
ADJ{grand}, N{amicale.g=F num=SG}*	gʁ&damikal	1	0
ADJ{grand}, N{banlieue.g=F num=SG}*	gʁ&db&ljø	1	0
ADJ{grand}, N{chose.g=F num=SG}*	gʁ&ʃoz	1	0
ADJ{grand}, N{chose.g=F num=SG}*	gʁ&ʃoz	1	0
ADJ{grand}, N{chose.g=F num=SG}*	gʁ&ʃoz	1	0
ADJ{grand}, N{chose.g=F num=SG}*	gʁ&ʃoz	1	0
ADJ{grand}, N{chose.g=F num=SG}*	gʁ&ʃoz	1	0
ADJ{grand}, N{chose.g=F num=SG}*	gʁ&ʃoz	1	0
ADJ{grand}, N{commune.g=F num=PL}*	gʁ&dkomyn	1	0
ADJ{grand}, N{commune.g=F num=PL}*	gʁ&dkomyn	1	0
ADJ{grand}, N{différence.g=F num=SG}*	gʁ&ddifeʁ&s	1	0
ADJ{grand}, N{détachement.g=M num=SG}*	gʁ&detaʃœm&	1	0
ADJ{grand}, N{détachement.g=M num=SG}*	gʁ&detaʃœm&	1	0
ADJ{grand}, N{détachement.g=M num=SG}*	gʁ&detaʃœm&	1	0
ADJ{grand}, N{ensemble.g=M num=SG}*	gʁ&&s&bl	1	0
ADJ{grand}, N{famille.g=F num=SG}*	gʁ&dfamij	1	0
ADJ{grand}, N{famille.g=F num=SG}*	gʁ&dfamij	1	0
ADJ{grand}, N{fille.g=F num=SG}*	gʁ&dfij	1	0
ADJ{grand}, N{fille.g=F num=SG}*	gʁ&dfij	1	0
ADJ{grand}, N{frère.g=M num=SG}*	gʁ&fʁɛʁ	1	0
ADJ{grand}, N{garçon.g=M num=SG}*	gʁ&gaʁsQ	1	0
ADJ{grand}, N{hall.g=M num=SG}*	gʁ&ol	1	0
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&donœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{honneur.g=M num=SG}*	gʁ&tonœʁ	1	1
ADJ{grand}, N{installation.g=F num=SG}*	gʁ&d3stalasjQ	1	0
ADJ{grand}, N{lacs.g=M num=PL}*	gʁ&lak	1	0
ADJ{grand}, N{lacs.g=M num=PL}*	gʁ&lak	1	0
ADJ{grand}, N{monde.g=M num=SG}*	gʁ&mQd	1	0
ADJ{grand}, N{montagne.g=F num=PL}*	gʁ&dmQtaɲ	1	0
ADJ{grand}, N{mère.g=F num=SG}*	gʁ&mɛʁ	1	0
ADJ{grand}, N{mère.g=F num=SG}*	gʁ&mɛʁ	1	0
ADJ{grand}, N{mère.g=F num=SG}*	gʁ&mɛʁ	1	0
ADJ{grand}, N{mère.g=F num=SG}*	gʁ&mɛʁ	1	0
ADJ{grand}, N{oh.g=M num=SG}*	gʁ&o	1	0
ADJ{grand}, N{ours.g=M num=SG}*	gʁ&uʁs	1	0
ADJ{grand}, N{paradis.g=M num=PL}*	gʁ&paʁadi	1	0
ADJ{grand}, N{parent.g=M num=PL}*	gʁ&paʁ&	1	0
ADJ{grand}, N{partie.g=F num=SG}*	gʁ&dpaʁti	1	0
ADJ{grand}, N{plafond.g=M num=SG}*	gʁ&plafQ	1	0
ADJ{grand}, N{porte.g=F num=SG}*	gʁ&dpɔʁt	1	0
ADJ{grand}, N{poupée.g=F num=SG}*	gʁ&dpupe	1	0
ADJ{grand}, N{problème.g=M num=SG}*	gʁ&pʁoblɛm	1	0
ADJ{grand}, N{père.g=M num=SG}*	gʁ&pɛʁ	1	0
ADJ{grand}, N{père.g=M num=SG}*	gʁ&pɛʁ	1	0
ADJ{grand}, N{responsabilité.g=F num=SG}*	gʁ&dʁɛspQsabilite	1	0
ADJ{grand}, N{restaurant.g=M num=SG}*	gʁ&ʁɛstoʁ&	1	0
ADJ{grand}, N{restaurant.g=M num=SG}*	gʁ&ʁɛstoʁ&	1	0
ADJ{grand}, N{salon.g=M num=PL}*	gʁ&salQ	1	0
ADJ{grand}, N{soeur.g=F num=SG}*	gʁ&dsœʁ	1	0
ADJ{grand}, N{soeur.g=F num=SG}*	gʁ&dsœʁ	1	0
ADJ{grand}, N{surprise.g=F num=SG}*	gʁ&dsyʁpʁiz	1	0
ADJ{grand}, N{truc.g=M num=SG}*	gʁ&tʁyk	1	0
ADJ{grand}, N{villa.g=F num=SG}*	gʁ&dvilla	1	0
ADJ{grand}, N{ville.g=F num=PL}*	gʁ&dvil	1	0
ADJ{grand}, N{ville.g=F num=PL}*	gʁ&dvil	1	0
ADJ{grand}, N{ville.g=F num=SG}*	gʁ&dvil	1	0
ADJ{grand}, N{émoi.g=M num=SG}*	gʁ&emwa	1	0
ADJ{grand}, N{émoi.g=M num=SG}*	gʁ&hemwa	1	1
